fetch_date,route,price,departure,arrival,airline,flight_number,score,tags,leg_type
2025-05-22T14:51:49.112044,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,"second_cheapest, shortest",outbound
2025-05-22T14:51:49.112044,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,"second_cheapest, shortest",return
2025-05-22T14:51:49.112044,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.841435,cheapest,outbound
2025-05-22T14:51:49.112044,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.841435,cheapest,return
2025-05-22T14:52:28.381030,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,,outbound
2025-05-22T14:52:28.381030,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,,return
2025-05-22T14:52:28.381030,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.84039,second_cheapest,outbound
2025-05-22T14:52:28.381030,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.84039,second_cheapest,return
2025-05-22T14:52:28.381030,TLS → MLA,304.99,2025-05-25T08:05:00,2025-05-26T07:50:00,Ryanair,5981,0.197913,cheapest,outbound
2025-05-22T14:52:28.381030,MLA → TLS,304.99,2025-05-30T22:55:00,2025-05-31T23:00:00,Wizz Air,2496,0.197913,cheapest,return
2025-05-22T14:54:20.278143,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,,outbound
2025-05-22T14:54:20.278143,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,,return
2025-05-22T14:54:20.278143,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.841435,second_cheapest,outbound
2025-05-22T14:54:20.278143,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.841435,second_cheapest,return
2025-05-22T14:54:20.278143,TLS → MLA,304.99,2025-05-25T08:05:00,2025-05-26T07:50:00,Ryanair,5981,0.197913,cheapest,outbound
2025-05-22T14:54:20.278143,MLA → TLS,304.99,2025-05-30T22:55:00,2025-05-31T23:00:00,Wizz Air,2496,0.197913,cheapest,return
2025-05-22T15:00:30.541116,TLS → MLA,445.99,2025-05-25T06:00:00,2025-05-25T11:55:00,Ryanair,8587,0.999,,outbound
2025-05-22T15:00:30.541116,MLA → TLS,445.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.999,,return
2025-05-22T15:00:30.541116,TLS → MLA,356.99,2025-05-25T16:45:00,2025-05-26T01:15:00,Ryanair,1514,0.84039,second_cheapest,outbound
2025-05-22T15:00:30.541116,MLA → TLS,356.99,2025-05-30T07:00:00,2025-05-30T12:30:00,KM Malta Airlines,612,0.84039,second_cheapest,return
2025-05-22T15:00:30.541116,TLS → MLA,304.99,2025-05-25T08:05:00,2025-05-26T07:50:00,Ryanair,5981,0.197913,cheapest,outbound
2025-05-22T15:00:30.541116,MLA → TLS,304.99,2025-05-30T22:55:00,2025-05-31T23:00:00,Wizz Air,2496,0.197913,cheapest,return
